Total Nacional;Comunidades y Ciudades Autonomas;Titular de la vivienda;Periodo;Total
Total Nacional;14 Murcia, Region de;Persona fisica;2015;2038
Total Nacional;14 Murcia, Region de;Persona fisica;2014;2353
Total Nacional;14 Murcia, Region de;Persona juridica;2023;52
Total Nacional;14 Murcia, Region de;Persona juridica;2022;68
Total Nacional;14 Murcia, Region de;Persona juridica;2021;175
Total Nacional;14 Murcia, Region de;Persona juridica;2020;644
Total Nacional;14 Murcia, Region de;Persona juridica;2019;1811
Total Nacional;14 Murcia, Region de;Persona juridica;2018;1131
Total Nacional;14 Murcia, Region de;Persona juridica;2017;1060
Total Nacional;14 Murcia, Region de;Persona juridica;2016;790
Total Nacional;14 Murcia, Region de;Persona juridica;2015;1574
Total Nacional;14 Murcia, Region de;Persona juridica;2014;1356
Total Nacional;15 Navarra, Comunidad Foral de;Total;2023;55
Total Nacional;15 Navarra, Comunidad Foral de;Total;2022;83
Total Nacional;15 Navarra, Comunidad Foral de;Total;2021;88
Total Nacional;15 Navarra, Comunidad Foral de;Total;2020;65
Total Nacional;15 Navarra, Comunidad Foral de;Total;2019;54
Total Nacional;15 Navarra, Comunidad Foral de;Total;2018;175
Total Nacional;15 Navarra, Comunidad Foral de;Total;2017;129
Total Nacional;15 Navarra, Comunidad Foral de;Total;2016;233
Total Nacional;15 Navarra, Comunidad Foral de;Total;2015;340
Total Nacional;15 Navarra, Comunidad Foral de;Total;2014;363
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2023;55
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2022;75
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2021;85
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2020;56
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2019;33
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2018;51
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2017;99
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2016;209
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2015;296
Total Nacional;15 Navarra, Comunidad Foral de;Persona fisica;2014;311
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2023;0
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2022;8
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2021;3
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2020;9
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2019;21
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2018;124
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2017;30
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2016;24
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2015;44
Total Nacional;15 Navarra, Comunidad Foral de;Persona juridica;2014;52
Total Nacional;16 Pais Vasco;Total;2023;176
Total Nacional;16 Pais Vasco;Total;2022;188
Total Nacional;16 Pais Vasco;Total;2021;239
Total Nacional;16 Pais Vasco;Total;2020;117
Total Nacional;16 Pais Vasco;Total;2019;85
Total Nacional;16 Pais Vasco;Total;2018;101
Total Nacional;16 Pais Vasco;Total;2017;197
Total Nacional;16 Pais Vasco;Total;2016;229
Total Nacional;16 Pais Vasco;Total;2015;297
Total Nacional;16 Pais Vasco;Total;2014;358
Total Nacional;16 Pais Vasco;Persona fisica;2023;154
Total Nacional;16 Pais Vasco;Persona fisica;2022;183
Total Nacional;16 Pais Vasco;Persona fisica;2021;225
Total Nacional;16 Pais Vasco;Persona fisica;2020;113
Total Nacional;16 Pais Vasco;Persona fisica;2019;72
Total Nacional;16 Pais Vasco;Persona fisica;2018;89
Total Nacional;16 Pais Vasco;Persona fisica;2017;170
